,"ИХЖЪ","дҜААБҝ(PV)","·ГҝНКэ(UV)","IPКэ","МшіцВК","ЖҪҫщ·ГОККұіӨ",
,"ЧЬјЖ","410","57","53","51.6%"," 00:06:02",
1,"2023/06/13","2","1","1","--","--",
2,"2023/06/12","23","4","4","63.64%"," 00:08:17",
3,"2023/06/11","1","1","1","100%"," 00:02:00",
4,"2023/06/10","4","1","1","66.67%"," 00:13:29",
5,"2023/06/09","20","4","4","40%"," 00:08:38",
6,"2023/06/08","34","3","4","40%"," 00:04:26",
7,"2023/06/07","70","6","6","37.93%"," 00:05:44",
8,"2023/06/06","19","5","5","30%"," 00:07:09",
9,"2023/06/05","50","5","4","56.52%"," 00:07:34",
10,"2023/06/04","--","--","--","--","--",
11,"2023/06/03","--","--","--","--","--",
12,"2023/06/02","73","3","3","46.15%"," 00:03:58",
13,"2023/06/01","50","7","4","58.33%"," 00:05:23",
14,"2023/05/31","25","7","7","78.57%"," 00:06:01",
15,"2023/05/30","12","5","5","80%"," 00:05:17",
16,"2023/05/29","27","5","4","41.67%"," 00:05:25",
17,"2023/05/28","--","--","--","--","--",
18,"2023/05/27","--","--","--","--","--",
19,"2023/05/26","--","--","--","--","--",
20,"2023/05/25","--","--","--","--","--",
21,"2023/05/24","--","--","--","--","--",
22,"2023/05/23","--","--","--","--","--",
23,"2023/05/22","--","--","--","--","--",
24,"2023/05/21","--","--","--","--","--",
25,"2023/05/20","--","--","--","--","--",
26,"2023/05/19","--","--","--","--","--",
27,"2023/05/18","--","--","--","--","--",
28,"2023/05/17","--","--","--","--","--",
29,"2023/05/16","--","--","--","--","--",
30,"2023/05/15","--","--","--","--","--",

